page,file_line,brand,model,spec_type,stated_value,primary_source,verified_value,status,notes,gate2_status,gate2_notes
content/heat-pumps/best-cold-climate-heat-pumps.mdx,33,Fujitsu,XLTH,HSPF2,14.2 (""highest of any residential unit we tested""),AHRI Directory,No 14.2 HSPF2 ductless mini-split currently in market,UNVERIFIABLE/HIGH,"14.2 HSPF2 would exceed every certified mini-split. Fujitsu XLTH series tops at ~13 HSPF2 per published data. Verify; ""we tested"" framing must be removed regardless.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/heat-pumps/best-cold-climate-heat-pumps.mdx,33,Fujitsu,XLTH,Capacity at 5°F,95%,manufacturer,~95-100% rated,OK,"Plausible for XLTH series.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/heat-pumps/best-cold-climate-heat-pumps.mdx,33,Fujitsu,XLTH,Min heat °F,-15,manufacturer (XLTH),-15,OK,"Matches XLTH brochure.",PENDING-RESEARCH,Section F: untouched per hard rule; verify before publishing
content/heat-pumps/best-cold-climate-heat-pumps.mdx,35,(multiple),Cold-climate models,Various,Various,NEEP cold-climate list / AHRI,Mixed,UNVERIFIABLE,"Cross-reference every model in the section against the live NEEP cold-climate ASHP list. Some models named may have been delisted or never listed.",PENDING-RESEARCH,
content/portable-air-conditioners/best-portable-air-conditioners.mdx,(top),Multiple,Various portable ACs,DOE BTU,Various,DOE BTU rule,DOE BTU is correct framing,FRAMING OK,"Article correctly distinguishes DOE BTU from old ASHRAE BTU. Specific brand/model DOE BTU values need per-row verification.",PENDING-RESEARCH,
content/air-quality/best-hvac-air-filters.mdx,31,(multiple),Filter brands,""particle capture efficiency, airflow resistance, longevity"",47 models tested,No lab identified,WRONG/FABRICATED METHODOLOGY,"""We tested 47 filter models … real-world performance"" — no lab, no methodology, no funding source. Strip claim.",DELETED,Gate 1 strip; Gate 2 verified clean
content/air-conditioners/portable-vs-window-ac.mdx,31,(multiple),Portable + window ACs,""24 portable ACs and 18 window units"",various,No lab,WRONG/FABRICATED METHODOLOGY,"""We tested 24 portable ACs and 18 window units across different room sizes and conditions"" — fabricated test program.",DELETED,Gate 1 strip; Gate 2 verified clean
content/air-conditioners/portable-vs-window-ac.mdx,74,(multiple),Portable + window ACs,Controlled-conditions test (95°F outdoor / 80°F indoor),N/A,No lab,WRONG/FABRICATED METHODOLOGY,"""controlled conditions"" with specific temps but no facility/funding/protocol. Strip.",DELETED,Gate 1 strip; Gate 2 verified clean
content/smart-thermostats/best-smart-thermostats.mdx,31,(multiple),Smart thermostats,Tested 12 models,various,No test bed,WRONG/FABRICATED METHODOLOGY,"""We tested and analyzed 12 smart thermostats across energy savings data"" — no methodology disclosed.",DELETED,Gate 1 strip; Gate 2 verified clean
content/smart-thermostats/nest-vs-ecobee-vs-honeywell.mdx,(FAQ),Ecobee vs Nest,Annual savings delta,Ecobee saves 1-3% more annually,N/A,No public study,UNVERIFIABLE,"""In real-world testing across multiple climate zones, Ecobee typically saves 1–3% more annually than Nest"" — cite primary or remove.",PENDING-RESEARCH,
content/water-heaters/best-water-heaters.mdx,28,(multiple),Water heaters,35+ models evaluated,various,No test bed,WRONG/FABRICATED METHODOLOGY,"""We evaluated 35+ models across tank, tankless, and heat pump categories using AHRI-certified efficiency data"" — keep ""AHRI-certified data"" framing; strip ""we evaluated"".",DELETED,Gate 1 strip; Gate 2 verified clean
content/heat-pumps/best-mini-split-heat-pumps.mdx,35,(multiple),Mini split heat pumps,38 models evaluated,various,No test bed,WRONG/FABRICATED METHODOLOGY,"""We evaluated 38 single-zone and multi-zone mini split models across seven categories"" — strip.",DELETED,Gate 1 strip; Gate 2 verified clean
content/heat-pumps/best-mini-split-heat-pumps.mdx,149,Daikin,MXL,Multi-zone efficiency,""better than any other system we tested"",N/A,No test bed,WRONG/FABRICATED METHODOLOGY,"Strip the ""we tested"" comparative claim.",DELETED,Gate 1 strip; Gate 2 verified clean
content/evaporative-coolers/best-evaporative-coolers.mdx,68,(multiple),Evaporative coolers,15+ models evaluated,various,No test bed,WRONG/FABRICATED METHODOLOGY,"""We evaluated 15+ models … real-world user feedback"" — strip both ""we evaluated"" and ""user feedback"" claims.",DELETED,Gate 1 strip; Gate 2 verified clean
content/evaporative-coolers/best-tower-fans.mdx,74,(multiple),Tower fans,15+ models evaluated CFM,various,No test bed,WRONG/FABRICATED METHODOLOGY,"""We evaluated 15+ tower fans based on airflow performance (measured CFM)"" — strip ""measured"".",DELETED,Gate 1 strip; Gate 2 verified clean
content/electric-fireplaces/best-pellet-stoves.mdx,31,(multiple),Pellet stoves,""$1.05–$1.50 per therm of useful heat … compared to $1.20–$2.50 for natural gas"",various,$/therm varies regionally and seasonally,UNVERIFIABLE,"Specific per-therm cost ratios need a regional/timeframe caveat and a primary source (DOE Fuel Cost Comparison).",PENDING-RESEARCH,
content/hvac-brands/best-hvac-brands-ranked.mdx,30,(multiple),HVAC brands,""seven weighted criteria"",various,No public methodology,WRONG/FABRICATED METHODOLOGY,"""We evaluated 11 major HVAC brands across seven weighted criteria"" — strip ""we evaluated""; either publish the weighting matrix as a methodology page or drop the ""weighted"" claim.",DELETED,Gate 1 strip; Gate 2 verified clean
content/furnaces-heating/best-gas-furnace-brands.mdx,39,(multiple),Gas furnaces,""10 major gas furnace brands across efficiency, reliability, warranty"",various,No primary reliability data source,WRONG/FABRICATED METHODOLOGY,"""real pricing data, model-by-model comparisons"" claim needs the data source disclosed or removed.",DELETED,Gate 1 strip; Gate 2 verified clean
content/hvac-brands/best-central-ac-brands.mdx,30,(multiple),Central AC brands,""11 major brands across price, SEER2 efficiency, warranty terms, compressor technology, and contractor feedback"",various,No contractor-survey panel,WRONG/FABRICATED METHODOLOGY,"""contractor feedback"" implies a survey of HVAC contractors that doesn't exist.",DELETED,Gate 1 strip; Gate 2 verified clean
content/smart-thermostats/best-smart-thermostats.mdx,55,Amazon,Smart Thermostat,Annual savings,Up to 20%,ENERGY STAR product spec,Up to 20% (ENERGY STAR-certified threshold),OK,"Within ENERGY STAR-certified threshold range; cite the ENERGY STAR product page.",OK-RETAINED,passed audit; left in place
content/smart-thermostats/best-smart-thermostats.mdx,55,Ecobee,Premium,Annual savings,Up to 23%,ENERGY STAR product spec,Up to 23% (ENERGY STAR-certified),OK,"Within ENERGY STAR range.",OK-RETAINED,passed audit; left in place
