page,file_line,brand,model,spec_type,stated_value,verified_value,status,source,cert_ref,notes
content/hvac-brands/best-central-ac-brands.mdx,30,(multiple),Central AC brands,11 major brands across price, SEER2 efficiency, compressor technology,DELETED, warranty terms,,Gate 1 strip; Gate 2 verified clean
content/smart-thermostats/best-smart-thermostats.mdx,55,Amazon,Smart Thermostat,Annual savings,Up to 20%,Up to 20% (ENERGY STAR-certified threshold),OK-RETAINED,ENERGY STAR product spec,,passed audit; left in place
content/smart-thermostats/best-smart-thermostats.mdx,55,Ecobee,Premium,Annual savings,Up to 23%,Up to 23% (ENERGY STAR-certified),OK-RETAINED,ENERGY STAR product spec,,passed audit; left in place
content/tax-credits-rebates/hvac-rebates-by-state.mdx,,IRS,Section 25D,(model spec set per Gate 4),NEEDS-VERIFICATION,Expired Dec 31 2025 (OBBBA); no grandfather; carryforward of pre-2026 credit survives,A-FINAL,IRS OBBB FAQ; Congress.gov CRS IN12611,,"A1: 25D resolved — expired for property placed in service after Dec 31 2025 under OBBBA. Trigger is ""placed in service"" (deposit in 2025 + install in 2026 does NOT qualify). Geothermal heat pumps no longer federally credited for 2026 installs. Carryforward of pre-2026 25D credit still allowed."
content/tax-credits-rebates/hvac-tax-credits-2026.mdx,,IRS,Section 25D,(model spec set per Gate 4),NEEDS-VERIFICATION,Terminates for construction begun after June 30 2026 (commercial),A-FINAL,IRS / Congress.gov CRS IN12611,,A3: 179D commercial deduction added to timeline as separate from residential.
content/tax-credits-rebates/25c-tax-credit-explained.mdx,,IRS,Section 45L,(model spec set per Gate 4),NEEDS-VERIFICATION,STILL ACTIVE — terminates for homes acquired after June 30 2026; builder credit ($500-$5000),A-FINAL,IRS / Congress.gov CRS IN12611,,A2: 45L correctly framed as still-active BUILDER credit (not homeowner) with June 30 2026 termination for acquisition (not install/place-in-service like 25C/25D).
content/heat-pumps/heat-pump-tax-credits-2026.mdx,,IRS,Section 25D,(model spec set per Gate 4),NEEDS-VERIFICATION,Expired Dec 31 2025; carryforward survives,A-FINAL,IRS OBBB FAQ,,"A1: 25D expired language applied across 4 spots (sources line, 25D section body, key takeaway bullet, FAQ)."
Multiple (~25 files),,Retailer-style,"""$2000 federal credit""",(model spec set per Gate 4),STALE,"Reframed to """"25C expired Dec 31 2025; state/utility rebates + IRA HEAR/HOMES are active 2026 pathways""""",A-FINAL,IRS OBBB FAQ,,"A4: dead 25C retailer-style ""$2000 federal credit"" sweep across mini-split files, electrical files, energy-efficiency-ratings files, refrigerant files, hvac-costs-by-state files. Real-world examples (Maria/CT, Chen/Atlanta) where $2000 was integral to the math reframed to ""October 2025 install before OBBBA termination."""
content/heat-pumps/heat-pump-in-cold-weather.mdx,,Fujitsu,XLTH,(model spec set per Gate 4),FALSE: XLTH operates at -22F (footnote) / HSPF2 14.2 (FAQ),-15F operating range; up to 13.3 HSPF2,B1-FINAL,fujitsugeneral.com,,B1: -22F footnote corrected (XLTH is -15F per Fujitsu General spec); FAQ updated with verified specs + source.
content/ac-sizing-selection/heat-pump-size-calculator.mdx,,Fujitsu,XLTH,(model spec set per Gate 4),FALSE: 12-14 HSPF2 / 20-33 SEER2,up to 33.1 SEER2 / up to 13.3 HSPF2,B1-FINAL,fujitsugeneral.com,,B1: comparison table row corrected. IRA tax credits callout also updated to reflect §A 25C expiration.
content/mini-split-air-conditioners/mini-split-in-cold-climates.mdx,,Fujitsu,XLTH,(model spec set per Gate 4),Pending AHRI cert verification,Verified at -15F per Fujitsu General spec,B1-FINAL,fujitsugeneral.com,,"B1: ""What is the best mini split for cold weather?"" FAQ updated."
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,,LG,Art Cool Premier 12K (LA120HYV3 / LAU120HYV3),(model spec set per Gate 4),PENDING-RESEARCH,25.5 SEER2 / 13.8 EER2 / 11.2 HSPF2 / R-410A / Production Stopped,B2-FINAL,LG installation manual (media.us.lg.com),,B2: moved from PENDING-RESEARCH to verified — legacy. 27.0 SEER2 = 9K variant (the figure previously misattributed to 12K as 27.5). Production Stopped per AIM Act mfr cutoff Jan 1 2025.
content/mini-split-air-conditioners/mini-split-for-bedroom.mdx,,LG,Art Cool Premier 09 (9K),(model spec set per Gate 4),27.5 SEER2,27.0 SEER2,B2-FINAL,media.us.lg.com,,B2: 9K corrected 27.5 → 27.0. Added footnote noting R-410A / Production Stopped status.
content/mini-split-air-conditioners/smallest-mini-splits.mdx,,LG,Art Cool Premier 09,(model spec set per Gate 4),27.5 SEER2,27.0 SEER2,B2-FINAL,media.us.lg.com,,B2: same correction + footnote.
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,,LG,(brand-overview),(model spec set per Gate 4),17-27.5 SEER2 range,17-27.0 SEER2 + AIM Act + R-410A / R-32 / R-454B transition footnote,B2-FINAL,media.us.lg.com,,B2: brand-overview row corrected; footnote re: AIM Act + state caveat (NY codified Jan 1 2026 install ban).
content/mini-split-air-conditioners/best-mini-split-ac-units.mdx,,Cooper & Hunter,Sophia (CH-12SPH),(model spec set per Gate 4),PENDING-RESEARCH (with -22F / 23 SEER2 prior claim),21.5 SEER2 / R-410A / ~-13F (Sophia); separate HPR line 24 SEER2 / -22F (mfr-rated),B3-FINAL,cooperandhunter.us,,"B3: line-conflation fix. Sophia (standard line) vs Hyper Heat/HPR (separate line) now properly distinguished. -22F belongs to HPR (manufacturer-rated, not AHRI-tested), not Sophia."
content/mini-split-air-conditioners/mini-split-brands-ranked.mdx,,Cooper & Hunter,Sophia,(model spec set per Gate 4),PENDING-RESEARCH,21.5 SEER2 / R-410A / ~-13F (Sophia); HPR -22F mfr-rated,B3-FINAL,cooperandhunter.us,,B3: row + brand-overview clarification.
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,,Cooper & Hunter,Sophia,(model spec set per Gate 4),17-23 / Down to -22F (Sophia),17-24 (HPR) / Sophia ~-13F / HPR -22F mfr-rated,B3-FINAL,cooperandhunter.us,,B3: brand-overview row corrected + footnote distinguishing Sophia from HPR line.
content/mini-split-air-conditioners/best-diy-mini-splits.mdx,,Cooper & Hunter,Sophia,(model spec set per Gate 4),23 SEER2 / -22F (claimed),21.5 SEER2 / R-410A / ~-13F per cooperandhunter.us,B3-FINAL,cooperandhunter.us,,B3: table row + #3 section + Key Takeaway + table footnote all rewritten with line distinction + R-410A AIM Act caveat.
Multiple,,Cooper & Hunter / brand-blanket,"""Mitsubishi H2i, Daikin Aurora, Fujitsu XLTH ... -13F to -22F""",(model spec set per Gate 4),Per-brand temps attributed to verified sources,mfr sources,B3-FINAL,"B3 sweep: any blanket ""XLTH operates to -22F"" copy reframed to attribute temps to verified sources rather than lumping XLTH with -22F claims. Covers: mini-split-in-cold-climates, mini-split-vs-central-air, what-is-a-mini-split, mrcool-diy-mini-split-review, mini-split-sizing-calculator.",,
content/energy-efficiency-ratings/seer2-rating-explained.mdx,,Lennox,XC25,(model spec set per Gate 4),26 SEER2 (manufacturer comparison row),up to 26* (footnoted),B4-FINAL,lennox.com / AHRI Directory,,B4: row corrected; footnote added.
content/energy-efficiency-ratings/eer2-rating-explained.mdx,,Lennox,XC25,(model spec set per Gate 4),25.5 SEER2,up to 26* (footnoted),B4-FINAL,lennox.com / AHRI Directory,,B4: row corrected (25.5 → up to 26 for consistency with match-dependent framing); footnote added.
content/energy-efficiency-ratings/seer-rating-tax-credits.mdx,,Lennox,"XC21, XC25",(model spec set per Gate 4),19-26 SEER2,19 to up to 26* (footnoted),B4-FINAL,lennox.com,,B4: row corrected; footnote also folds in §A 25C expiration reminder.
content/energy-efficiency-ratings/eer-chart-for-ac-units.mdx,,Lennox,XC25,(model spec set per Gate 4),25.5 SEER2,up to 26* (footnoted),B4-FINAL,lennox.com,,B4: row corrected; footnote added.
content/mini-split-air-conditioners/mrcool-3rd-gen-vs-4th-gen.mdx,,MrCool,DIY 4th Gen,(model spec set per Gate 4),Presented as current,Labeled as legacy R-410A; 5th Gen (23.5 SEER2 / R-454B / cold-climate cert) is current,B5-FINAL,mrcool.com,,B5: 5th-Gen callout added; Key Takeaways rewritten with generation timeline + §A 25C-expiration note.
content/mini-split-air-conditioners/mini-split-air-conditioners.mdx,,MrCool,(brand-overview),(model spec set per Gate 4),17-22 SEER2 / -4F (4th Gen),17-23.5 (5th Gen) / -4F (4th Gen std) + 5th Gen cold-climate cert,B5-FINAL,mrcool.com,,"B5: brand-overview row + ""Best for DIY"" prose updated."
